TY,Artist 1,Song Title,Category,LY,WOC,Weeks at No.1,Score,Tempo,Year,Gender,,,,,,Last Played
64,Cat Stevens,Morning Has Broken,A,645,,,100,3,1991,M,,,,,,25/04/2026 09:15
65,Led Zeppelin,Stairway To Heaven,A,87,,,100,3,1987,Group,,,,,,24/04/2026 23:29
66,Johnny Cash,Ring Of Fire,A,27,,,100,3,1981,M,,,,,,25/04/2026 07:39
67,Matt Monro,Born Free,A,78,,,100,3,1983,M,,,,,,25/04/2026 07:57
68,The Beatles,Hey Jude,A,31,,,100,3,1984,Group,,,,,,25/04/2026 08:25
69,Rod Stewart,Maggie May,A,34,,,100,3,1978,M,,,,,,25/04/2026 07:39
70,The Beatles,Help,A,93,,,100,3,1978,Group,,,,,,25/04/2026 07:41
71,John Denver,Annie's Song,A,542,,,100,3,1974,M,,,,,,25/04/2026 08:04
72,The Pogues feat. Kirsty MacColl,Fairytale of New York,A,298,,,100,3,1974,Group,,,,,,25/04/2026 08:42
73,The Beatles,Penny Lane,A,85,,,100,3,1983,Group,,,,,,25/04/2026 08:22
74,Bob Marley,One Love - People Get Ready,A,NE,,,100,3,1979,M,,,,,,25/04/2026 08:55
75,Queen,Don't Stop Me Now,A,74,,,100,3,1981,Group,,,,,,24/04/2026 23:35
76,Dire Straits,Brothers In Arms,A,340,,,75,3,1983,Group,,,,,,25/04/2026 08:22
77,Nat King Cole,Unforgettable,A,38,,,75,3,1978,M,,,,,,
78,Bryan Adams,Summer Of 69,A,62,,,75,3,2011,M,,,,,,24/04/2026 23:15
79,The Beatles,Twist & Shout,A,353,,,75,3,1966,Group,,,,,,25/04/2026 07:44
80,Vera Lynn,We'll Meet Again,A,77,,,75,3,2008,M,,,,,,
81,Bill Haley And His Comets,Rock Around The Clock,A,68,,,75,3,1965,Group,,,,,,25/04/2026 08:48
82,The Beatles,I Want To Hold Your Hand,A,374,,,75,3,1969,Group,,,,,,
83,Dean Martin,Memories Are Made Of This,A,110,,,75,3,1981,M,,,,,,25/04/2026 07:42
84,Westlife,Flying Without Wings,A,128,,,75,3,2011,M,,,,,,25/04/2026 07:42
85,Rolling Stones,Jumpin' Jack Flash,A,553,,,75,3,1969,M,,,,,,25/04/2026 07:42
86,Elvis Presley,In The Ghetto,A,304,,,75,3,1970,M,,,,,,
87,Bobby McFerrin,"Don't Worry, Be Happy",A,NE,,,75,3,1980,M,,,,,,25/04/2026 07:46
88,The Carpenters,Top Of The World,A,613,,,75,3,1980,Group,,,,,,25/04/2026 08:29
89,Tina Turner,(Simply) The Best,A,437,,,75,3,1971,F,,,,,,25/04/2026 07:46
90,Guns N' Roses,Sweet Child O' Mine,A,198,,,75,3,1978,Group,,,,,,25/04/2026 07:44
91,Elvis Presley,If I Can Dream,A,58,,,75,3,1979,M,,,,,,
92,Sting,Fields Of Gold,A,165,,,75,3,1978,M,,,,,,25/04/2026 07:41
93,Frank Sinatra,That's Life,A,264,,,75,3,1979,M,,,,,,25/04/2026 07:42
94,Johnny Cash,I Walk The Line,A,26,,,75,3,1980,M,,,,,,24/04/2026 23:40
95,Soft Cell,Tainted Love,A,369,,,75,3,1975,M,,,,,,25/04/2026 07:46
96,Elvis Presley,Are You Lonesome Tonight,A,125,,,75,3,2009,M,,,,,,25/04/2026 07:42
97,Abba,Waterloo,A,112,,,75,3,1984,Group,,,,,,
98,Acker Bilk,Stranger On The Shore,A,405,,,75,3,1985,M,,,,,,25/04/2026 07:44
99,Teddy Swims,Lose Control,A,17,,,75,3,1971,M,,,,,,25/04/2026 07:41
100,Taylor Swift,Shake It Off,A,113,,,75,3,1981,F,,,,,,25/04/2026 08:28
101,Queen,We Are The Champions,A,114,,,75,3,1982,Group,,,,,,25/04/2026 08:09
102,Monty Python,Always Look On The Bright Side Of Life,A,319,,,75,3,1984,M,,,,,,25/04/2026 07:46
103,Lionel Richie,Dancing On The Ceiling,A,250,,,75,3,1984,M,,,,,,25/04/2026 00:13
104,Dolly Parton,Jolene,A,25,,,75,3,1982,F,,,,,,24/04/2026 22:49
105,Killers,Mr Brightside,A,NE,,,75,3,1981,M,,,,,,
106,Proclaimers,I'm Gonna Be (500 Miles),A,NE,,,75,3,1983,M,,,,,,
107,AC/DC,Highway To Hell,A,60,,,75,3,1984,M,,,,,,25/04/2026 07:46
108,Jimmy Cliff,I Can See Clearly Now,A,347,,,75,3,1973,M,,,,,,
109,Kansas,Carry On Wayward Son,A,NE,,,75,3,1982,M,,,,,,25/04/2026 07:41
110,Hollies,"He Ain't Heavy, He's My Brother",A,NE,,,75,3,1984,M,,,,,,25/04/2026 07:39
111,Stevie Wonder,I Just Called To Say I Love You,A,146,,,75,3,1985,M,,,,,,25/04/2026 07:44
112,Tom Jones,Delilah,A,46,,,75,3,1985,M,,,,,,24/04/2026 22:49
113,Abba,"Money, Money, Money",A,242,,,75,3,1986,Group,,,,,,25/04/2026 07:41
114,Aerosmith,I Don't Want To Miss A Thing,A,602,,,75,3,1976,Group,,,,,,24/04/2026 23:20
115,AC/DC,Thunderstruck,A,207,,,75,3,1979,M,,,,,,25/04/2026 00:00
116,Anne-marie,Everywhere,A,NE,,,75,3,1979,M,,,,,,25/04/2026 07:39
117,Fleetwood Mac,Dreams,A,121,,,75,3,1980,Group,,,,,,25/04/2026 08:02
118,Fleetwood Mac,The Chain,A,214,,,75,3,1980,Group,,,,,,25/04/2026 07:46
119,Jimmy Cliff,"Wonderful World, Beautiful People",A,2256,,,75,3,1980,M,,,,,,
120,Coldplay,Viva La Vida,A,368,,,75,3,1980,Group,,,,,,25/04/2026 07:39
121,Tom Jones,Green Green Grass Of Home,A,12,,,75,3,1981,M,,,,,,25/04/2026 07:41
122,Abba,The Winner Takes It All,A,295,,,75,3,1983,Group,,,,,,25/04/2026 07:44
123,Roberta Flack,The First Time Ever I Saw Your Face,A,466,,,75,3,1984,M,,,,,,25/04/2026 07:46
124,Amy Winehouse,Back To Black,A,136,,,75,3,1984,M,,,,,,25/04/2026 07:42
125,Cat Stevens,Wild World,A,2153,,,75,3,1985,M,,,,,,24/04/2026 22:49
126,John Denver,Leaving On A Jet Plane,A,721,,,75,3,1986,M,,,,,,25/04/2026 07:42
127,Gene Kelly,Singin' In The Rain,A,498,,,75,3,1971,M,,,,,,24/04/2026 23:53
128,Tina Turner,Proud Mary,A,499,,,75,3,1971,F,,,,,,24/04/2026 23:14
129,Beach Boys,Good Vibrations,A,108,,,75,3,1974,M,,,,,,25/04/2026 00:26
130,Rick Astley,Never Gonna Give You Up,A,36,,,75,3,1974,M,,,,,,
131,Westlife,You Raise Me Up,A,109,,,75,3,1974,M,,,,,,24/04/2026 23:46
132,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),A,1331,,,75,3,1975,F,,,,,,25/04/2026 00:40
133,Beatles,A Hard Day's Night,A,NE,,,75,3,1977,M,,,,,,
134,Rolling Stones,(I Can't Get No) Satisfaction,A,823,,,75,3,1978,M,,,,,,25/04/2026 07:46
135,Rolling Stones,Paint It Black,A,554,,,75,3,1978,M,,,,,,24/04/2026 23:09
136,Petula Clark,Downtown,A,302,,,75,3,1978,M,,,,,,25/04/2026 07:42
137,Kate Bush,Running Up That Hill,A,596,,,75,3,1978,M,,,,,,
138,Bill Withers,Lovely Day,A,55,,,75,3,1979,M,,,,,,25/04/2026 00:53
139,Dire Straits,Sultans Of Swing,A,48,,,75,3,1979,Group,,,,,,25/04/2026 09:08
140,David Bowie,Starman,A,651,,,75,3,1979,M,,,,,,24/04/2026 23:33
141,Kenny Rogers,The Gambler,A,210,,,75,3,1980,M,,,,,,25/04/2026 07:44
142,David Bowie,Heroes,A,169,,,75,3,1981,M,,,,,,
143,Tina Turner,Private Dancer,A,349,,,75,3,1981,F,,,,,,25/04/2026 07:39
144,Tom Odell,Grow Old With Me,A,NE,,,75,3,1982,M,,,,,,25/04/2026 07:44
145,Dolly Parton,9 To 5,A,99,,,75,3,1982,F,,,,,,24/04/2026 22:54
146,Tom Odell,Real Love,A,NE,,,75,3,1982,M,,,,,,24/04/2026 23:40
147,Ed Sheeran,Shivers,A,51,,,75,3,1983,M,,,,,,25/04/2026 07:42
148,Gloria Gaynor,I Will Survive,A,65,,,75,3,1983,M,,,,,,25/04/2026 07:41
149,Elvis Presley,All Shook Up,A,147,,,75,3,1983,M,,,,,,
150,Marvin Gaye,I Heard It Through The Grapevine,A,281,,,75,3,1983,M,,,,,,25/04/2026 07:44
151,Abba,"Knowing Me, Knowing You",B,190,,,75,3,1983,Group,,,,,,24/04/2026 22:57
152,John Legend,All Of Me,B,82,,,75,3,1983,M,,,,,,
153,Ed Sheeran,Castle On The Hill,B,67,,,75,3,1983,M,,,,,,25/04/2026 00:36
154,Elvis Presley,Hound Dog,B,842,,,75,3,1984,M,,,,,,
155,Madonna,Holiday,B,154,,,75,3,1984,F,,,,,,25/04/2026 07:39
156,Whitney Houston,My Love Is Your Love,B,414,,,75,3,1984,F,,,,,,25/04/2026 07:39
157,Temptations,My Girl,B,NE,,,75,3,1985,M,,,,,,
158,Abba,I Have A Dream,B,416,,,75,3,1985,Group,,,,,,25/04/2026 08:39
159,George Ezra,Green Green Grass,B,878,,,75,3,1985,M,,,,,,25/04/2026 08:35
160,Abba,Voulez-Vous,B,157,,,75,3,1985,Group,,,,,,25/04/2026 07:46
161,Elton John,Your Song,B,427,,,75,3,1985,M,,,,,,25/04/2026 09:11
162,Bruce Springsteen,Dancing In The Dark,B,320,,,75,3,1986,M,,,,,,25/04/2026 09:32
163,Fleetwood Mac,Little Lies,B,438,,,75,3,1986,Group,,,,,,25/04/2026 08:15
164,Abba,S.O.S.,B,199,,,75,3,1986,Group,,,,,,25/04/2026 07:49
165,Toploader,Dancing In The Moonlight,B,460,,,75,3,1986,M,,,,,,25/04/2026 08:20
166,Glenn Miller,Moonlight Serenade,B,135,,,75,3,1986,M,,,,,,24/04/2026 23:25
167,Shirley Bassey,Big Spender,B,260,,,75,3,1987,M,,,,,,25/04/2026 07:39
168,Tom Odell,Magnetised,B,NE,,,75,3,1988,M,,,,,,
169,Andrew Gold,Thank You For Being A Friend,B,2133,,,75,3,1989,M,,,,,,
170,Ben E. King,Spanish Harlem,B,695,,,75,3,1990,M,,,,,,
171,Elvis Presley,How Great Thou Art,B,63,,,75,3,1991,M,,,,,,25/04/2026 07:39
172,Harry Styles,As It Was,B,123,,,75,3,1992,M,,,,,,
173,Cher,Believe,B,183,,,75,3,1994,F,,,,,,25/04/2026 07:46
174,Spice Girls,Wannabe,B,756,,,75,3,1996,M,,,,,,
175,Tom Jones,It's Not Unusual,B,35,,,75,3,2000,M,,,,,,
176,Dexy's Midnight Runners,Come On Eileen,B,80,,,75,3,2002,M,,,,,,25/04/2026 07:46
177,Barry White,"You're The First, The Last, My Everything",B,537,,,75,3,2012,M,,,,,,
178,Beatles,Eleanor Rigby,B,NE,,,75,3,2012,M,,,,,,25/04/2026 00:49
179,Lewis Capaldi,Someone You Loved,B,393,,,75,3,2015,M,,,,,,25/04/2026 09:05
180,Queen,We Will Rock You,B,NE,,,75,3,2015,Group,,,,,,
181,Abba,Super Trooper,B,1411,,,75,3,2015,Group,,,,,,
182,Sabrina Carpenter,Espresso,B,294,,,75,3,2016,M,,,,,,25/04/2026 07:41
183,Abba,Take A Chance On Me,B,834,,,75,3,2016,Group,,,,,,
184,Carpenters,Yesterday Once More,B,NE,,,75,3,2017,M,,,,,,
185,Stevie Wonder,Happy Birthday,B,23,,,75,3,2018,M,,,,,,
186,Kinks,Waterloo Sunset,B,NE,,,75,3,2020,M,,,,,,
187,Gerry Rafferty,Baker Street,B,1578,,,75,3,1956,M,,,,,,25/04/2026 08:18
188,Roberta Flack,Back Together Again,B,NE,,,75,3,1957,M,,,,,,
189,Bon Jovi,Livin' On A Prayer,B,196,,,75,4,1963,Group,,,,,,25/04/2026 00:10
190,Fleetwood Mac,Everywhere,B,323,,,75,3,1964,Group,,,,,,24/04/2026 23:50
191,Teddy Swims,The Door,B,NE,,,75,3,1966,M,,,,,,25/04/2026 07:42
192,Queen,Another One Bites The Dust,B,614,,,75,3,1966,Group,,,,,,
193,Elton John,Crocodile Rock,B,615,,,75,3,1966,M,,,,,,25/04/2026 08:07
194,Jim Reeves,Welcome To My World,B,30,,,75,3,1967,M,,,,,,
195,Roberta Flack,Killing Me Softly With His Song,B,NE,,,75,3,1967,M,,,,,,25/04/2026 07:39
196,Coldplay,A Sky Full Of Stars,B,456,,,75,3,1968,Group,,,,,,24/04/2026 23:12
197,Tina Turner,Steamy Windows,B,1971,,,75,3,1968,F,,,,,,25/04/2026 07:44
198,Neil Diamond,Forever In Blue Jeans,B,677,,,75,3,1968,M,,,,,,
199,Roy Orbison,Penny Arcade,B,122,,,75,3,1969,M,,,,,,
200,Bill Withers,Ain't No Sunshine,B,2124,,,75,3,1970,M,,,,,,
201,Beatles,Eight Days A Week,B,NE,,,75,3,1970,M,,,,,,25/04/2026 07:46
202,Pink Floyd,Wish You Were Here,B,174,,,75,3,1971,Group,,,,,,
203,Les Miserables,Bring Him Home,B,1222,,,75,3,1971,M,,,,,,
204,Benson Boone,"Sorry, I'm Here For Someone Else",B,NE,,,75,3,1971,M,,,,,,25/04/2026 08:45
205,Mark Ronson,Uptown Funk,B,NE,,,75,3,1971,M,,,,,,
206,Take That,Shine,B,141,,,75,3,1972,M,,,,,,25/04/2026 08:32
207,Elvis Presley,It's Now Or Never,B,757,,,75,3,1972,M,,,,,,
208,Real Thing,You To Me Are Everything,B,1264,,,75,3,1972,M,,,,,,25/04/2026 09:18
209,Roy Orbison,Only The Lonely,B,279,,,75,3,1973,M,,,,,,25/04/2026 07:52
210,Oasis,Don't Look Back In Anger,B,280,,,75,3,1974,Group,,,,,,25/04/2026 08:02
211,Cliff Richard,The Young Ones,B,283,,,75,3,1974,M,,,,,,
212,Survivor,Eye Of The Tiger,B,229,,,75,3,1974,M,,,,,,
213,Europe,The Final Countdown,B,1291,,,75,3,1975,M,,,,,,24/04/2026 22:49
214,George Michael,Careless Whisper,B,81,,,75,3,1975,M,,,,,,
215,Perry Como,Magic Moments,B,288,,,75,3,1975,M,,,,,,
216,Monkees,I'm A Believer,B,NE,,,75,3,1975,M,,,,,,
217,U2,Beautiful Day,B,1332,,,75,3,1976,Group,,,,,,25/04/2026 08:22
218,Yazz,The Only Way Is Up,B,807,,,75,3,1976,M,,,,,,
219,Beatles,Yellow Submarine,B,NE,,,75,3,1976,M,,,,,,
220,Beatles,"Hello, Goodbye",B,NE,,,75,3,1976,M,,,,,,
221,Blondie,Heart Of Glass,B,821,,,75,3,1977,Group,,,,,,25/04/2026 08:05
222,Harry Styles,Sign Of The Times,B,232,,,75,3,1977,M,,,,,,24/04/2026 23:52
223,Queen,Under Pressure,B,151,,,75,3,1978,Group,,,,,,
224,Taylor Swift,Love Story,B,192,,,75,3,1978,F,,,,,,
225,Beatles,Let It Be,B,NE,,,75,3,1978,M,,,,,,
226,Tears For Fears,Everybody Wants To Rule The World,B,570,,,75,3,1979,M,,,,,,
227,Dean Martin,Volare,B,NE,,,75,3,1979,M,,,,,,
228,Rag'N'Bone Man,Human,B,307,,,75,3,1979,M,,,,,,25/04/2026 08:33
229,Pulp,Common People,B,863,,,75,3,1979,M,,,,,,
230,Dire Straits,Walk Of Life,B,309,,,75,3,1979,Group,,,,,,25/04/2026 07:42
231,Billy Ocean,Red Light Spells Danger,B,417,,,75,3,1980,M,,,,,,
232,Shania Twain,Man! I Feel Like A Woman!,B,422,,,75,3,1980,M,,,,,,
233,Mavericks,Dance The Night Away,B,NE,,,75,3,1980,M,,,,,,25/04/2026 07:42
234,Glen Campbell,Rhinestone Cowboy,B,322,,,75,3,1980,M,,,,,,25/04/2026 08:32
235,Wham!,Club Tropicana,B,133,,,75,3,1980,M,,,,,,25/04/2026 07:44
236,Abba,Does Your Mother Know,B,159,,,75,3,1980,Group,,,,,,
237,Judy Collins,Amazing Grace,B,97,,,75,3,1980,M,,,,,,
238,Fats Domino,Blueberry Hill,B,328,,,75,3,1980,M,,,,,,25/04/2026 09:26
239,Gerry & The Pacemakers,Ferry Across The Mersey,B,452,,,75,3,1981,Group,,,,,,25/04/2026 07:52
240,Prince,Purple Rain,B,202,,,75,3,1981,M,,,,,,
241,Ed Sheeran,Photograph,B,76,,,75,3,1981,M,,,,,,
242,Luther Vandross,Dance With My Father,B,167,,,75,3,1981,M,,,,,,24/04/2026 22:49
243,Eric Clapton,Wonderful Tonight,B,261,,,75,3,1981,M,,,,,,
244,Etta James,At Last,B,689,,,75,3,1982,M,,,,,,
245,Josh Groban,You Raise Me Up,B,2172,,,75,3,1982,M,,,,,,
246,Celine Dion,I'm Alive,B,362,,,75,3,1982,M,,,,,,25/04/2026 08:05
247,Andy Williams,Moon River,B,734,,,75,3,1982,M,,,,,,
248,Alex Warren,Bloodline,B,NE,,,75,3,1982,M,,,,,,25/04/2026 07:39
249,Adele,Someone Like You,B,104,,,75,3,1983,F,,,,,,25/04/2026 07:36
250,Celine Dion,Think Twice,B,276,,,75,3,1983,M,,,,,,25/04/2026 07:41
251,Doris Day,Secret Love,B,181,,,75,3,1983,M,,,,,,
252,Art Garfunkel,Bright Eyes,B,522,,,75,3,1983,M,,,,,,25/04/2026 09:11
253,Wings,Mull Of Kintyre,B,1311,,,75,3,1983,M,,,,,,25/04/2026 07:41
254,Lewis Capaldi,Survive,B,NE,,,75,3,1983,M,,,,,,25/04/2026 07:46
255,Wham!,Wake Me Up Before You Go Go,B,53,,,75,3,1984,M,,,,,,
256,Beatles,All You Need Is Love,B,NE,,,75,3,1984,M,,,,,,
257,Ace Of Base,All That She Wants,B,NE,,,75,3,1984,M,,,,,,25/04/2026 08:09
258,Abba,Fernando,B,1346,,,75,3,1984,Group,,,,,,25/04/2026 08:33
259,Gabrielle,Dreams,B,796,,,75,3,1985,M,,,,,,
260,Beatles,Ticket To Ride,B,NE,,,75,3,1985,M,,,,,,25/04/2026 07:39
261,Backstreet Boys,I Want It That Way,B,535,,,75,3,1985,M,,,,,,25/04/2026 07:41
262,Enya,Orinoco Flow,B,396,,,75,3,1985,M,,,,,,25/04/2026 08:49
263,Lonnie Donegan,My Old Man's A Dustman,B,820,,,75,3,1985,M,,,,,,24/04/2026 23:10
264,Elvis Presley,Way Down,B,231,,,75,3,1986,M,,,,,,24/04/2026 23:17
265,Beatles,Day Tripper,B,NE,,,75,3,1986,M,,,,,,
266,Abba,The Name Of The Game,B,NE,,,75,3,1986,Group,,,,,,24/04/2026 23:38
267,George Michael,A Different Corner,B,832,,,75,3,1986,M,,,,,,
268,Don McLean,American Pie,B,233,,,75,3,1986,M,,,,,,25/04/2026 07:39
269,Ace Of Base,The Sign,B,NE,,,75,3,1987,M,,,,,,
270,B-52's,Love Shack,B,857,,,75,3,1987,M,,,,,,
271,Dean Martin,That's Amore,B,84,,,75,3,1987,M,,,,,,25/04/2026 07:39
272,Phil Collins,Another Day In Paradise,B,871,,,75,3,1987,M,,,,,,25/04/2026 07:56
273,Queen,Somebody To Love,B,873,,,75,3,1987,Group,,,,,,
274,Killers,Human,B,NE,,,75,3,1988,M,,,,,,
275,Billy Fury,Halfway To Paradise,B,581,,,75,3,1988,M,,,,,,
276,Leona Lewis,One More Sleep,B,314,,,75,3,1988,M,,,,,,
277,Bon Jovi,It's My Life,B,317,,,75,3,1989,Group,,,,,,
278,David Bowie,Life On Mars?,B,589,,,75,3,1989,M,,,,,,25/04/2026 07:44
279,Queen,A Kind Of Magic,B,318,,,75,3,1990,Group,,,,,,25/04/2026 08:52
280,Bob Marley,Sun Is Shining,B,1626,,,75,3,1990,M,,,,,,25/04/2026 09:25
281,Chappell Roan,Hot To Go,B,NE,,,75,3,1990,M,,,,,,24/04/2026 22:59
282,Tracy Chapman,Fast Car,B,96,,,75,3,1991,M,,,,,,24/04/2026 23:30
283,Johnny Cash,A Boy Named Sue,B,428,,,75,3,1991,M,,,,,,24/04/2026 22:49
284,Bee Gees,Stayin' Alive,B,603,,,75,4,1992,Group,,,,,,25/04/2026 07:44
285,Dire Straits,Money For Nothing,B,245,,,75,3,1992,Group,,,,,,
286,UB40,Kingston Town,B,431,,,75,3,1994,M,,,,,,25/04/2026 09:12
287,Coldplay,Yellow,B,32,,,75,3,1994,Group,,,,,,
288,Buddy Holly,Rave On,B,944,,,75,3,1995,M,,,,,,
289,Bob Marley,Could You Be Loved,B,248,,,75,3,1995,M,,,,,,
290,Journey,Don't Stop Believin',B,440,,,75,4,1995,Group,,,,,,25/04/2026 07:41
291,Buddy Holly,Peggy Sue,B,326,,,75,3,1996,M,,,,,,25/04/2026 08:47
292,Diana Ross,Endless Love,B,NE,,,75,3,1996,F,,,,,,25/04/2026 08:46
293,Roy Orbison,I Drove All Night,B,984,,,75,3,1998,M,,,,,,
294,Elvis Presley,Burning Love,B,637,,,75,3,1998,M,,,,,,
295,Abba,Lay All Your Love On Me,B,NE,,,75,3,1998,Group,,,,,,
296,Bob Marley,"No Woman, No Cry",B,164,,,75,3,1998,M,,,,,,
297,Beatles,Yesterday,B,NE,,,75,3,1999,M,,,,,,
298,Michael Jackson,Thriller,B,203,,,75,3,1999,M,,,,,,
299,Shania Twain,You're Still The One,B,204,,,75,3,2000,M,,,,,,25/04/2026 08:58
300,Elton John,Circle Of Life,B,1922,,,75,3,2000,M,,,,,,
301,Lionel Richie,Stuck On You,B,1943,,,50,3,2001,M,,,,,,
